1,12
2,10.93
3,1.05
4,1.38
5,2.7
6,8.43
7,7.83
8,8.69
9,4.56
10,7.93
11,6.24
12,7.6
13,6.45
14,7.51
15,5.41
16,7.12
17,5.5
18,6.4
19,5.03
20,6.34
21,3.15
22,4.95
23,3.93
24,5.64
25,5.43
26,7.5
27,4.99
28,6.22
29,4.19
30,4.56
31,3.04
32,3.65
33,2.3
34,3.34
35,2.54
36,3.25
37,2.52
38,2.87
39,2.21
40,2.58
41,1.46
42,1.88
44,1.75
45,0.91
46,1.57
47,0.94
48,1.71
49,0.8
50,2.04
51,1.01
52,2.18
53,1.55
54,2.24
55,1.08
56,2.18
57,1.1
58,1.58
59,0.72
60,1.42
62,0.96
63,0.52
64,1.07
65,0.3
66,1.1
67,0.48
68,0.92
69,0.1
70,0.84
71,0.1
72,0.85
73,-0.12
74,0.85
75,0.26
76,1.4
77,1.38
78,1.62
79,0.92
80,1.17
81,0.9
82,1.75
83,0.65
90,0.02
92,-0.54
